subject,model,accuracy,f1
1,cfc,57.638888888888886,0.5639301921629708
1,eegnet,67.36111111111111,0.6481281081480007
1,hybrid_cfc,68.75,0.6828492819859735
1,lstm,54.6875,0.5431292881539592
1,riemann_tslr,77.08333333333333,0.7699643990624214
1,shallow_convnet,73.26388888888889,0.7298081107223542
1,tiny_transformer,63.71527777777778,0.6326812155588295
2,cfc,26.38888888888889,0.2231089372784948
2,eegnet,32.8125,0.3145313156006621
2,hybrid_cfc,38.888888888888886,0.376585796375267
2,lstm,24.305555555555557,0.2150531557831215
2,riemann_tslr,57.11805555555556,0.5697632985875583
2,shallow_convnet,46.00694444444444,0.4600890233482578
2,tiny_transformer,39.0625,0.3782243920580572
3,cfc,67.53472222222223,0.6691285361181681
3,eegnet,73.09027777777777,0.701576364760019
3,hybrid_cfc,71.18055555555556,0.7030303292314516
3,lstm,56.94444444444445,0.5604711755998992
3,riemann_tslr,84.54861111111111,0.8453739340162203
3,shallow_convnet,86.97916666666667,0.8680833004582994
3,tiny_transformer,64.75694444444444,0.6423737787902313
4,cfc,38.71527777777778,0.3554489054815917
4,eegnet,43.40277777777778,0.4186443523635905
4,hybrid_cfc,37.67361111111112,0.3622765796515061
4,lstm,35.76388888888889,0.3394566245077154
4,riemann_tslr,64.23611111111111,0.640369756437642
4,shallow_convnet,59.72222222222222,0.5976442296194997
4,tiny_transformer,46.18055555555556,0.4500426551647437
5,cfc,30.555555555555557,0.2820367850802366
5,eegnet,25.34722222222222,0.2291664545444831
5,hybrid_cfc,26.5625,0.2161774233197554
5,lstm,26.38888888888889,0.2413500982825643
5,riemann_tslr,45.48611111111112,0.4513133222501353
5,shallow_convnet,41.66666666666666,0.4114211612518454
5,tiny_transformer,32.291666666666664,0.3115238259215672
6,cfc,37.84722222222222,0.3683597837087069
6,eegnet,41.31944444444444,0.4025569610106248
6,hybrid_cfc,30.90277777777778,0.2946372358134145
6,lstm,32.11805555555556,0.3022237562386455
6,riemann_tslr,54.86111111111111,0.5452440052358766
6,shallow_convnet,47.91666666666666,0.4762387012093279
6,tiny_transformer,37.67361111111112,0.3641261246345714
7,cfc,44.96527777777778,0.4484096633895779
7,eegnet,50.520833333333336,0.4843830555327314
7,hybrid_cfc,54.34027777777778,0.5442112698614869
7,lstm,37.326388888888886,0.3186629574385217
7,riemann_tslr,73.95833333333333,0.7400309888802965
7,shallow_convnet,77.60416666666667,0.7747324056046728
7,tiny_transformer,51.90972222222222,0.5025964267296844
8,cfc,66.66666666666667,0.659943494745532
8,eegnet,69.79166666666667,0.6842618519291099
8,hybrid_cfc,74.13194444444444,0.7397860574464505
8,lstm,56.076388888888886,0.5536440687688305
8,riemann_tslr,83.85416666666666,0.8370266574906093
8,shallow_convnet,81.42361111111111,0.8135774428540391
8,tiny_transformer,65.79861111111111,0.6519828337001642
9,cfc,62.84722222222223,0.6214524160758376
9,eegnet,71.52777777777777,0.6970617225496966
9,hybrid_cfc,66.31944444444444,0.643975588134515
9,lstm,46.701388888888886,0.4337691624125777
9,riemann_tslr,69.27083333333333,0.6896811396821109
9,shallow_convnet,80.90277777777779,0.8101599921712928
9,tiny_transformer,64.40972222222221,0.6352985171210959
1,mi_mamba,67.70833333333333,0.6511950463491185
1,ss_cfc,54.16666666666666,0.5337254858881904
1,ss_head,63.88888888888889,0.6370195402839267
2,mi_mamba,37.67361111111112,0.3567784196691234
2,ss_cfc,23.26388888888889,0.2049919529627327
2,ss_head,24.479166666666664,0.2077294793596811
3,mi_mamba,78.47222222222223,0.776822974665187
3,ss_cfc,56.42361111111112,0.5626037704042375
3,ss_head,72.04861111111111,0.7148455173098456
4,mi_mamba,43.576388888888886,0.407212552438227
4,ss_cfc,35.24305555555556,0.3464530955031594
4,ss_head,34.02777777777778,0.3269210410133962
5,mi_mamba,28.99305555555556,0.2539841322606253
5,ss_cfc,26.041666666666664,0.2314282762864234
5,ss_head,27.256944444444443,0.2416671557091391
6,mi_mamba,39.23611111111112,0.3784537253551451
6,ss_cfc,31.42361111111111,0.2967367274273274
6,ss_head,37.15277777777778,0.3581144566113596
7,mi_mamba,71.52777777777777,0.7133462212925442
7,ss_cfc,36.80555555555556,0.3266433872336586
7,ss_head,40.97222222222222,0.3848041672745217
8,mi_mamba,76.73611111111111,0.7646157503247317
8,ss_cfc,41.66666666666666,0.3933129156400574
8,ss_head,60.24305555555556,0.5789064300601856
9,mi_mamba,68.75,0.6823661155059331
9,ss_cfc,58.50694444444444,0.5737330954947079
9,ss_head,63.71527777777778,0.626579744932936
